problem_name,best_fitness,optimal_fitness,duration_s,iterations,error_%
kroA100,21282,21282,300,25928,0.00
d198,15927,15780,300,15373,0.93
lin318,43370,42029,300,11196,3.19
pcb442,52821,50778,300,9267,4.02
rat783,9724,8806,300,8275,10.42
pr1002,290233,259045,300,9008,12.04
pcb1173,63426,56892,300,8807,11.48
d1291,59344,50801,300,8943,16.82
fl1577,66037,22249,300,9293,196.81
pr2392,1630873,378032,300,12541,331.41
pcb3038,782303,137694,300,14547,468.15
fl3795,1418953,28772,300,11491,4831.71
rl5915,13858939,565530,300,18145,2350.61
gr666,326074,294358,300,7325,10.77
hk48,11461,11461,300,98164,0.00
brazil58,25395,25395,300,81540,0.00
a280,2639,2579,300,12406,2.33
ali535,222728,202310,300,8083,10.09
bayg29,1610,1610,300,174946,0.00
u2152,243174,64253,300,11157,278.46
